component,feature,selection_count,selection_fraction
ad_vs_ftd,photic__harmonic_snr_db__rostral__frequency_slope,9,0.18
ad_vs_ftd,photic__gamma_relative__20hz__ch_Pz,8,0.16
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_T5,8,0.16
ad_vs_ftd,resting__loglog_slope__lr_slope,8,0.16
ad_vs_ftd,photic__gamma_relative__20hz__ch_Cz,7,0.14
ad_vs_ftd,photic__higuchi_fd__10hz__ch_T3,7,0.14
ad_vs_ftd,photic__loglog_slope__10hz__ch_T3,7,0.14
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_F3,7,0.14
ad_vs_ftd,photic__theta_relative__lr_slope__20hz,7,0.14
ad_vs_ftd,resting__aperiodic_exponent__lr_slope,7,0.14
ad_vs_ftd,photic__gamma_relative__20hz__ch_T5,6,0.12
ad_vs_ftd,photic__gamma_relative__5hz__ch_F3,6,0.12
ad_vs_ftd,photic__harmonic_snr_db__5hz__ch_Fp2,6,0.12
ad_vs_ftd,photic__median_frequency_hz__5hz__ch_C4,6,0.12
ad_vs_ftd,photic__median_frequency_hz__global__frequency_mean,6,0.12
ad_vs_ftd,photic__theta_relative__5hz__ch_T3,6,0.12
ad_vs_ftd,resting__surrogate_hfd_z__ch_Cz,6,0.12
ad_vs_ftd,resting__theta_relative__ch_O1,6,0.12
ad_vs_ftd,photic__aperiodic_exponent__rostrocaudal__frequency_sd,5,0.1
ad_vs_ftd,photic__beta_relative__10hz__ch_C3,5,0.1
ad_vs_ftd,photic__delta_relative__rostrocaudal__frequency_sd,5,0.1
ad_vs_ftd,photic__gamma_relative__5hz__ch_P4,5,0.1
ad_vs_ftd,photic__loglog_slope__20hz__ch_Pz,5,0.1
ad_vs_ftd,photic__median_frequency_hz__lr_slope__20hz,5,0.1
ad_vs_ftd,photic__spectral_entropy__rostrocaudal__frequency_mean,5,0.1
ad_vs_ftd,photic__stimulus_snr_db__15hz__ch_O1,5,0.1
ad_vs_ftd,resting__theta_relative__ch_O2,5,0.1
ad_vs_ftd,photic__aperiodic_exponent__10hz__ch_P3,4,0.08
ad_vs_ftd,photic__aperiodic_exponent__15hz__ch_T3,4,0.08
ad_vs_ftd,photic__aperiodic_offset__20hz__ch_C3,4,0.08
ad_vs_ftd,photic__beta_relative__10hz__ch_P3,4,0.08
ad_vs_ftd,photic__beta_relative__20hz__ch_C3,4,0.08
ad_vs_ftd,photic__delta_relative__15hz__ch_Cz,4,0.08
ad_vs_ftd,photic__gamma_relative__5hz__ch_C3,4,0.08
ad_vs_ftd,photic__gamma_relative__5hz__ch_C4,4,0.08
ad_vs_ftd,photic__gamma_relative__global__20hz,4,0.08
ad_vs_ftd,photic__harmonic_snr_db__5hz__ch_F4,4,0.08
ad_vs_ftd,photic__higuchi_fd__20hz__ch_Pz,4,0.08
ad_vs_ftd,photic__loglog_slope__20hz__ch_T3,4,0.08
ad_vs_ftd,photic__median_frequency_hz__lr_slope__5hz,4,0.08
ad_vs_ftd,photic__stimulus_snr_db__15hz__ch_O2,4,0.08
