model,macro_auc,macro_ci95_low,macro_ci95_high,auc_AD,auc_CN,auc_FTD,balanced_accuracy,macro_f1,macro_difference_vs_resting,ftd_difference_vs_resting
resting_direct,0.6633851461915877,0.5819173703457101,0.7438078428902024,0.7412087912087912,0.797859690844233,0.4510869565217391,0.5143713857357035,0.4717126444037623,0.0,0.0
paired_direct,0.7238498119024989,0.6571233604345753,0.7893583221681362,0.7527472527472527,0.9072532699167657,0.5115489130434783,0.5459413150567574,0.5211640211640212,0.060464665710911136,0.06046195652173919
paired_hierarchical,0.7765489436979123,0.7225916206145933,0.8286165605384123,0.8038461538461538,0.9143876337693222,0.6114130434782609,0.5784536303276933,0.5405311106803644,0.11316379750632455,0.16032608695652178
paired_hybrid,0.7525372615889857,0.6946912763244657,0.8077852333691291,0.7813186813186812,0.9137931034482759,0.5625,0.610023559648747,0.5797684734393594,0.08915211539739798,0.11141304347826092
