component,repeat,fold,classifier,selected_k,inner_auc
ad_vs_ftd,4,3,SVC,40,0.8714285714285714
resting_direct,4,4,LogisticRegression,5,0.7082796832796833
paired_direct,4,4,SVC,40,0.839494301994302
dementia_vs_cn,4,4,LogisticRegression,40,0.8952020202020202
ad_vs_ftd,4,4,SVC,5,0.8125
resting_direct,5,0,LogisticRegression,10,0.6966519591519591
paired_direct,5,0,SVC,40,0.7031029156029155
dementia_vs_cn,5,0,LogisticRegression,40,0.8595959595959597
ad_vs_ftd,5,0,SVC,40,0.5482142857142857
resting_direct,5,1,LogisticRegression,5,0.7450408387908388
paired_direct,5,1,SVC,20,0.7656773781773782
dementia_vs_cn,5,1,SVC,40,0.9534722222222223
ad_vs_ftd,5,1,SVC,10,0.6464285714285715
resting_direct,5,2,LogisticRegression,5,0.7015334202834204
paired_direct,5,2,SVC,40,0.7941378066378066
dementia_vs_cn,5,2,LogisticRegression,40,0.9633838383838385
ad_vs_ftd,5,2,SVC,5,0.7571428571428571
resting_direct,5,3,SVC,40,0.6962939837939838
paired_direct,5,3,SVC,40,0.7798937173937175
dementia_vs_cn,5,3,LogisticRegression,40,0.8313762626262626
ad_vs_ftd,5,3,SVC,40,0.7303571428571428
resting_direct,5,4,LinearDiscriminantAnalysis,10,0.77998852998853
paired_direct,5,4,SVC,10,0.8056348743848744
dementia_vs_cn,5,4,LogisticRegression,40,0.9018308080808081
ad_vs_ftd,5,4,LogisticRegression,40,0.7214285714285714
resting_direct,6,0,LogisticRegression,5,0.7553673178673178
paired_direct,6,0,SVC,40,0.7883639508639508
dementia_vs_cn,6,0,SVC,40,0.9085858585858586
ad_vs_ftd,6,0,SVC,40,0.7446428571428572
resting_direct,6,1,LogisticRegression,40,0.7849779849779851
paired_direct,6,1,LogisticRegression,20,0.7121089558589558
dementia_vs_cn,6,1,LogisticRegression,40,0.8734848484848485
ad_vs_ftd,6,1,SVC,40,0.6785714285714286
resting_direct,6,2,LogisticRegression,10,0.7372527935027935
paired_direct,6,2,SVC,20,0.7160328097828098
dementia_vs_cn,6,2,SVC,40,0.8820075757575758
ad_vs_ftd,6,2,LogisticRegression,5,0.7946428571428571
resting_direct,6,3,LinearDiscriminantAnalysis,5,0.6890847578347579
paired_direct,6,3,SVC,20,0.7304547304547305
dementia_vs_cn,6,3,SVC,40,0.8830808080808081
ad_vs_ftd,6,3,SVC,40,0.8035714285714286
resting_direct,6,4,SVC,40,0.7304274429274429
paired_direct,6,4,SVC,40,0.8026899026899026
dementia_vs_cn,6,4,LogisticRegression,40,0.8863636363636365
ad_vs_ftd,6,4,SVC,5,0.7071428571428571
resting_direct,7,0,SVC,40,0.7550690050690051
paired_direct,7,0,LogisticRegression,5,0.7745640933140934
dementia_vs_cn,7,0,LogisticRegression,40,0.9002525252525252
ad_vs_ftd,7,0,SVC,20,0.6125
resting_direct,7,1,LinearDiscriminantAnalysis,20,0.765426702926703
paired_direct,7,1,SVC,20,0.7549825174825174
dementia_vs_cn,7,1,LogisticRegression,40,0.8585858585858586
ad_vs_ftd,7,1,SVC,40,0.7089285714285714
resting_direct,7,2,SVC,10,0.6981786731786732
paired_direct,7,2,SVC,40,0.7706985144485146
