model,n_features,macro_roc_auc_ovr,ci95_low,ci95_high,difference_vs_baseline,difference_ci95_low,difference_ci95_high,balanced_accuracy,macro_f1,auc_AD,auc_FTD,auc_CN
locked_baseline,3,0.5780376009662849,0.49971103130438976,0.6481235282782337,0.0,,,0.3920817369093232,0.35656144530474493,0.6736111111111112,0.3311036789297659,0.7293980128579777
spectral,8,0.6574775646364852,0.580077265030747,0.7319963476812223,0.07943996367020034,-0.0008925854959669401,0.16074185604756647,0.4742489866178023,0.46731792144026185,0.7318376068376069,0.44749163879598663,0.7931034482758621
complexity,8,0.6316366588544059,0.560089536686278,0.704593036330777,0.05359905788812103,-0.014350946222166365,0.12782307448785366,0.4522877450163807,0.44316180855168535,0.7307692307692307,0.40668896321070236,0.7574517825832847
combined,13,0.6415960352432794,0.5706070459084523,0.7162951612841629,0.06355843427699448,-0.01820047184777158,0.14896148939509665,0.4607834971403187,0.44542059247941596,0.7264957264957266,0.408695652173913,0.7895967270601987
