model,n_features,roc_auc,ci95_low,ci95_high,average_precision,brier,calibration_intercept,calibration_slope,sensitivity_at_derivation_threshold,specificity_at_derivation_threshold
locked_baseline,3,0.7015306122448979,0.6145673894557823,0.7848692602040815,0.4800008307594732,0.3454906235512861,-1.1823502629011104,0.38288179823041996,0.7959183673469388,0.4895833333333333
shared_spectral_extension,5,0.7047193877551021,0.6194727891156463,0.7857249149659863,0.4770785984965116,0.27202986078210273,-1.4063363827719146,1.8302467647848508,0.8775510204081632,0.40625
