model,repeat,fold,selected_C,inner_macro_auc
complexity,5,0,0.01,0.6434613997113997
complexity,5,1,0.01,0.6835051522551522
complexity,5,2,0.01,0.6676482082732083
complexity,5,3,0.01,0.6547859547859548
complexity,5,4,0.01,0.6417599761349762
complexity,6,0,0.01,0.6630822880822881
complexity,6,1,10.0,0.6040540478040478
complexity,6,2,1.0,0.7051338707588707
complexity,6,3,10.0,0.6631195193695193
complexity,6,4,10.0,0.6171790015540015
complexity,7,0,0.01,0.6486277611277611
complexity,7,1,0.01,0.6572565166315167
complexity,7,2,0.01,0.6470552595552596
complexity,7,3,0.01,0.7141699735449736
complexity,7,4,10.0,0.6368006993006993
complexity,8,0,1.0,0.7349823787323787
complexity,8,1,0.01,0.6410581316831317
complexity,8,2,1.0,0.710185532060532
complexity,8,3,0.01,0.6743809431309431
complexity,8,4,1.0,0.6747959216709216
complexity,9,0,10.0,0.6428194490694491
complexity,9,1,0.01,0.662796115921116
complexity,9,2,0.01,0.6400525400525401
complexity,9,3,0.01,0.6096713471713472
complexity,9,4,0.01,0.5875143375143376
combined,0,0,0.01,0.6525379712879712
combined,0,1,0.1,0.6110708735708736
combined,0,2,0.1,0.6027358058608059
combined,0,3,1.0,0.6764261201761201
combined,0,4,1.0,0.7010498760498761
combined,1,0,1.0,0.6688038813038812
combined,1,1,1.0,0.6735468235468235
combined,1,2,10.0,0.604417341917342
combined,1,3,1.0,0.7270699208199208
combined,1,4,0.01,0.7249799968549968
combined,2,0,0.01,0.6854397916897917
combined,2,1,0.1,0.6539417758167758
combined,2,2,0.01,0.6439827533577533
combined,2,3,1.0,0.6312088374588375
combined,2,4,0.01,0.6646380240130239
combined,3,0,0.01,0.6588154900654901
combined,3,1,0.01,0.6585219178969178
combined,3,2,10.0,0.6628030534280533
combined,3,3,0.01,0.634717019092019
combined,3,4,1.0,0.6955490111740111
combined,4,0,1.0,0.66373741998742
combined,4,1,0.01,0.6744232619232619
combined,4,2,10.0,0.6475901413401414
combined,4,3,0.1,0.6439502627002627
combined,4,4,1.0,0.6281304343804344
combined,5,0,1.0,0.6590314777814777
combined,5,1,0.01,0.685336654086654
combined,5,2,0.01,0.6510971667221667
combined,5,3,0.1,0.6700498575498576
combined,5,4,0.01,0.6675602175602177
combined,6,0,0.01,0.6337930587930588
combined,6,1,0.1,0.6397206959706959
combined,6,2,1.0,0.729852786102786
combined,6,3,1.0,0.6485184953934954
combined,6,4,1.0,0.623570757945758
combined,7,0,10.0,0.6871757871757871
combined,7,1,0.01,0.6450201418951419
combined,7,2,0.01,0.6420017482517483
combined,7,3,0.01,0.6814872627372628
combined,7,4,1.0,0.6438588032338032
combined,8,0,0.01,0.7136377511377511
combined,8,1,0.01,0.6498056341806342
combined,8,2,0.1,0.7345975783475783
combined,8,3,0.01,0.6650106837606838
combined,8,4,0.1,0.7115359177859177
combined,9,0,1.0,0.7011296573796574
combined,9,1,0.01,0.6629519785769786
combined,9,2,0.1,0.6568670912420913
combined,9,3,1.0,0.6087724775224775
combined,9,4,0.01,0.5976631007881008
