hypothesis,estimate,ci95_low,ci95_high,effect_size,p_unadjusted,p_holm,supported
H1 direct reproduction,0.010105151889456142,-0.010744869366814555,0.03048401267846387,0.2673338371465225,0.34802040073597484,1.0,False
H2 spectral independence,0.004983564465424256,-0.009189072126564194,0.019156201057412704,,0.4907051538762295,1.0,False
H3 nonlinear-excess HFD,-0.12233835426921522,-1.161083861865049,0.9671361323929583,-0.06429895095301652,0.8244892240703993,1.0,False
H4 diagnosis × region × state,-0.020670319065624842,-0.10720003543891443,0.06585939730766474,,0.6396426653670158,1.0,False
H5 complexity fusion > EEGNet,0.031602406460104815,-0.02526761239563468,0.0911258968788095,,0.41271745650869823,1.0,False
