model,macro_auc,ci95_low,ci95_high,accuracy,balanced_accuracy,macro_f1,log_loss
Demographic,0.9241561377430942,0.8820039793137618,0.9604776337792641,0.7954545454545454,0.7966988727858292,0.791764705882353,0.40189688402801765
Complexity,0.6846243010973146,0.6013236846827202,0.767629001145704,0.5681818181818182,0.5487672830251541,0.54247491638796,0.9837675974643769
Spectral,0.6164200005603457,0.5449731433175198,0.6871626483042702,0.4431818181818182,0.4215114664889777,0.40856208468148764,1.013402508034779
Feature fusion,0.6495490502611942,0.5734641400372175,0.7288053401274518,0.5454545454545454,0.5205452829140985,0.5139169756207168,0.9887391038382577
EEGNet,0.6376393307764486,0.5602690313361355,0.7111925413144506,0.5340909090909091,0.4948220334277305,0.45970633843768177,1.0437432541281282
EEGNet + complexity,0.6692417372365534,0.5858231354634502,0.7487494548122867,0.6022727272727273,0.5660780720750735,0.549049049049049,0.9669414137364231
